,Company,Product,TypeName,Inches,Ram,OS,Weight,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,CPU_model,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company,GPU_model,Price_euros
1207,10,207,3,14,1,5,102,3,0,0,0,0,0,0,13,75,8,0,1,2,0,84,299.0
1208,0,72,3,16,3,5,148,3,2,1,0,0,0,1,11,36,11,0,1,2,3,14,629.0
1209,2,408,1,14,5,5,102,1,3,2,0,0,0,1,19,66,7,4,3,0,3,22,2449.0
1210,1,298,4,3,3,3,3,3,6,4,0,1,1,1,3,26,10,0,0,2,2,48,1279.0
1211,2,130,3,14,5,5,102,1,3,2,0,0,0,1,19,66,4,4,3,0,3,21,1749.0
1212,11,182,1,16,5,5,118,1,3,2,0,1,0,1,17,58,7,4,3,0,3,21,1948.99
1213,4,259,0,14,3,5,101,1,3,2,1,1,0,1,16,46,7,0,3,2,2,55,999.0
1214,2,385,1,16,5,5,140,1,3,2,0,0,0,1,19,66,7,4,3,0,3,21,1949.0
1215,0,87,2,2,0,1,31,3,0,0,0,0,0,1,6,18,2,0,3,2,2,42,174.0
1216,0,105,3,16,1,5,148,3,2,1,0,0,0,1,11,36,11,0,1,2,3,14,598.0
1217,10,212,3,16,3,4,138,3,2,1,0,0,0,1,16,46,11,0,1,2,2,55,539.0
1218,10,225,1,14,3,5,125,1,3,2,0,1,0,1,17,58,4,4,3,0,3,30,1272.0
1219,0,410,0,10,3,5,20,1,3,2,1,1,0,1,4,69,7,0,3,2,2,54,1149.0
1220,10,489,3,14,3,5,109,1,3,2,0,1,0,1,17,57,7,0,3,2,2,49,1529.0
1221,11,169,1,14,3,5,102,1,3,2,0,0,0,1,17,58,4,4,3,0,3,21,1476.11
1222,7,33,3,14,2,5,93,1,3,2,0,0,0,0,18,4,11,0,1,2,0,78,529.0
